Year,Grid,Location,Treatment,Week,Date,Date,Day 1,Day 2,Spp,Tag #,Status,Ear,Fate,Sex,Age,Wt. ,testes,vaginal,nipples,Lac,Pg,RE,LE,HD,RE,LE,HD,Botfly,NOTES:
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G9,F7,PL,H4630,N,1,2,1,3,18,1,,,,,1,1,2,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G6,I4,PL,H4570,P,1,1,1,1,20,1,,,,,0,1,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G4,,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G2,B2,TS,H4631,N,1,2,2,,44,,,1,,,0,1,1,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,G1,H3,PL,H4569,P,1,1,2,2,18,,1,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C1,,TS,H4632,N,1,2,1,,76,1,,,,,1,1,0,0,0,1,,bald spot on head
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C4,,PL,H4565,P,1,1,2,1,17,,2,2,,,0,1,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C7,D5,PL,H4633,N,1,2,2,2,15,,1,2,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C8,,TS,H2154,P,1,1,1,,92,2,,,,,0,0,1,0,0,1,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C9,,TS,H4062,P,2,1,2,,78,,,2,1,,0,0,2,0,0,2,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,C11,,TS,H4449,P,1,1,2,,,,,2,1,,0,0,0,0,0,1,,escaped before weight taken
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A10,B10,TS,H4634,N,1,2,1,,56,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A6,B9,PL,H4564,P,1,1,1,1,19,2,,,,,3,0,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A5,,TS,H4635,RT,2,1,1,,62,1,,,,,0,1,1,0,0,1,,right ear ripped
2014,Green Control,G,C,1196,June 12-13,2014/06/12,A2,A1,PL,H4636,N,1,2,1,1,18,1,,,,,4,3,0,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,K6,PL,H4690,N,1,2,2,3,16,,2,1,,,8,4,2,0,0,0,,
2014,Green Control,G,C,1196,June 12-13,2014/06/12,,G1,TS,H4689,N,1,2,1,,50,1,,,,,0,0,1,0,0,3,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I2,G6,PL,H4570,P,1,1,1,1,20,2,,,,,1,0,1,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I3,G4,PL,H4569,P,1,1,2,1,18,,1,1,,1,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I4,I5,TS,H4643,P,1,1,2,,60,,,1,,,0,0,0,1,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I5,,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I6,I10,TS,H4066,P,1,1,1,,82,2,,,,,1,0,0,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I7,J6,TS,H4664,N,1,2,1,,70,1,,,,,1,1,1,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,I9,H10,TS,H7186,P,1,1,1,,65,1,,,,,0,1,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,E3,,TS,H4695,P,2,1,1,,95,2,,,,,0,0,,0,0,,,escaped without head ticks; right ear ripped
2014,Green Control,G,C,1198,June 25-26,2014/06/25,E1,F4,PL,H4561,P,2,1,1,1,24,2,,,,,0,1,0,0,0,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1198,June 25-26,2014/06/25,B3/C3,C3,TS,H4663,N,1,2,2,,52,,,1,,,0,0,1,0,0,0,,stub tail
2014,Green Control,G,C,1198,June 25-26,2014/06/25,B4,B6,PL,H4565,P,1,1,2,1,18,,1,1,,,2,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,B6,C6,PL,H4633,P,1,1,2,1,15,,1,2,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,B8,D8,TS,H4560,P,1,1,1,,95,2,,,,,0,0,1,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,B8,A8,TS,H4649,P,1,1,1,,60,1,,,,,1,0,0,1,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,C6,B1/C6,PL,H4662,RT,1,1,1,1,25,1,,,,,0,0,0,0,0,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1198,June 25-26,2014/06/25,C5,B2,PL,H4566,P,1,1,1,1,19,2,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,H8,TS,,D,,4,,,,,,,,,,,,,,,,"eaten in trap, fur and skull only"
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,H8,TS,,D,,4,,,,,,,,,,,,,,,,"eaten in trap, fur and skull only"
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,D4,TS,H4661,RT,2,1,2,,70,,,1,,,0,0,0,0,0,1,,right ear ripped
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,D4,TS,H4669,P,2,1,1,,90,2,,,,,1,3,0,0,1,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,C1,TS,H4660,N,1,2,2,,57,,,1,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,A2,PL,H4659,N,1,2,2,2,15,,1,1,,,0,1,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,A2,TS,H4658,N,1,2,1,,73,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,A9,TS,H4657,N,1,2,1,,71,1,,,,,1,0,1,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,A11,TS,H4634,P,1,1,1,,66,1,,,,,1,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,A11,TS,H4563,P,1,1,1,,66,1,,,,,0,0,1,1,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,B11,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J3,J3,PL,H4675,P,1,1,2,1,18,,1,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J4,H5,PL,H4571,P,1,1,1,2,15,2,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J7,K7,PL,H4598,P,2,1,1,1,19,2,,,,,0,0,0,0,0,1,,right ear ripped
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J9,K9,PL,H4696,P,1,1,1,1,19,2,,,,,1,3,0,0,0,2,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J10,,TS,H4525,P,1,1,2,,65,,,1,,,0,0,0,0,1,5,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,J11,,TS,H7185,N,1,2,2,,64,,,1,,,0,1,0,0,1,1,,2 engorged nymphs under left armpit
2014,Green Control,G,C,1198,June 25-26,2014/06/25,F10,E9,TS,H4575,P,1,1,2,,64,,,1,,,0,0,0,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,F9,D11,PL,H4567,P,1,1,2,1,18,,1,2,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,F3,,PL,H7184,N,1,2,1,2,16,2,,,,,0,0,2,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,C4,C5,TS,H4668,P,1,1,2,,65,,,1,,,0,0,0,0,0,0,,one engorged nymph on ribcage
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,J1,PL,H4683,N,1,2,1,1,26,2,,,,,2,1,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,J7,BB,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,E5,PL,H4665,P,1,1,2,1,17,,1,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,C7,TS,H4232,P,1,1,2,,94,,,1,,,1,0,0,0,0,1,,
2014,Green Control,G,C,1198,June 25-26,2014/06/25,,C8,TS,H4682,RT,2,1,2,,71,,,1,,,0,0,0,0,0,0,,right ear ripped
