tag,site,date_elisa,elisa_well,vac_type,vac_status,date_blood,date_int_vac,date_sec_vac,date_third_vac,date_forth_vac,duplicate_num,end_abs_read,max_slope,max_slope_3up,read_zero,read_one,read_two,read_three,read_four,read_five,read_six,read_seven,read_eight,read_nine,read_ten,read_eleven,read_twelve,read_thirteen,read_fourteen,read_fifteen,read_sixteen,read_seventeen,read_eighteen,read_nineteen,read_twenty
E6131_E6018_E6115,GX,2/12/2015, G04,Sham,2,7/22/2014,6/10/2014,6/24/2014,7/22/2014,,2,2.5218,,,0.3257,0.5733,0.8237,1.02945,1.22255,1.3991,1.55585,1.695,1.82275,1.9337,2.03475,2.121,2.196,2.2627,2.3204,2.36055,2.4141,2.44525,2.4795,2.50055,2.5218
E6161,GX,1/23/2015, E03,Sham,0,8/5/2014,8/5/2014,9/1/2014,9/17/2014,,1,0.9393,,,0.1687,0.2055,0.2758,0.3433,0.4051,0.463,0.5182,0.5691,0.6179,0.6619,0.7023,0.7394,0.773,0.8026,0.8293,0.8528,0.8751,0.8943,0.9106,0.9258,0.9393
E6161,GX,2/12/2015, G10,Sham,0,8/5/2014,8/5/2014,9/1/2014,9/17/2014,,2,0.898,,,0.0713,0.147,0.2146,0.27265,0.33225,0.391,0.44635,0.4992,0.54765,0.5909,0.63365,0.6715,0.7078,0.7405,0.7693,0.79685,0.8215,0.84355,0.8634,0.88125,0.898
E6161,GX,1/23/2015, B03,Sham,2,9/17/2014,8/5/2014,9/1/2014,9/17/2014,,1,3.0894,,,0.7792,1.6714,2.1805,2.5789,2.8878,3.0805,3.2069,3.2795,3.3428,3.326,3.3744,3.3795,3.2231,3.2525,3.1954,3.1812,3.1298,3.1632,3.1023,3.1116,3.0894
E6161,GX,2/12/2015, B12,Sham,2,9/17/2014,8/5/2014,9/1/2014,9/17/2014,,2,3.6128,,,0.1986,1.2232,1.6466,2.11005,2.52465,2.8989,3.18855,3.4183,3.52075,3.6406,3.65315,3.7044,3.6906,3.6772,3.6665,3.65575,3.6456,3.63615,3.6281,3.62005,3.6128
E6124,GX,1/23/2015, A05,Sham,0,8/6/2014,8/6/2014,8/18/2014,9/1/2014,,1,0.2001,,,0.0695,0.0826,0.0967,0.1102,0.1219,0.1316,0.1401,0.1487,0.1552,0.1627,0.1679,0.1734,0.1785,0.1823,0.1858,0.1892,0.1917,0.1944,0.1967,0.1985,0.2001
E6124,GX,2/12/2015, D08,Sham,0,8/6/2014,8/6/2014,8/18/2014,9/1/2014,,2,-0.0218,,,0.0026,-0.0015,-0.0061,-0.00895,-0.01135,-0.0128,-0.01425,-0.0158,-0.01655,-0.0178,-0.01895,-0.0197,-0.0203,-0.0205,-0.0217,-0.02115,-0.0216,-0.02205,-0.0219,-0.02235,-0.0218
E6124,GX,1/28/2015, B11,Sham,2,9/1/2014,8/6/2014,8/18/2014,9/1/2014,,1,2.855042857,,,0.288585714,1.262257143,1.694628571,2.191785714,2.548628571,2.818942857,2.993771429,3.096485714,3.166728571,3.138871429,3.155428571,3.174214286,3.091157143,3.062842857,3.015471429,2.970085714,2.9481,2.912385714,2.902357143,2.880528571,2.855042857
E6124,GX,2/12/2015, D12,Sham,2,9/1/2014,8/6/2014,8/18/2014,9/1/2014,,2,3.6128,,,0.2348,1.001,1.6133,2.17645,2.66285,3.077,3.31985,3.5536,3.65635,3.7354,3.71925,3.7044,3.6906,3.6785,3.6665,3.65575,3.6456,3.63615,3.6281,3.62005,3.6128
E6192,GX,1/23/2015, B12,Sham,0,8/18/2014,8/18/2014,9/1/2014,9/17/2014,,1,0.8952,,,0.0308,0.1355,0.2097,0.2766,0.3414,0.4015,0.4583,0.5112,0.5609,0.606,0.6477,0.686,0.7206,0.7519,0.7799,0.8049,0.8273,0.8472,0.8653,0.8809,0.8952
E6192,GX,2/12/2015, C07,Sham,0,8/18/2014,8/18/2014,9/1/2014,9/17/2014,,2,0.3016,,,0.0214,0.0576,0.0804,0.10035,0.11995,0.1366,0.15385,0.1703,0.18555,0.2003,0.21445,0.2264,0.2384,0.2496,0.2585,0.26815,0.2761,0.28335,0.2901,0.29605,0.3016
E6192,GX,1/23/2015, C05,Sham,2,9/17/2014,8/18/2014,9/1/2014,9/17/2014,,1,2.243,,,0.9126,1.59,2.041,2.3663,2.5744,2.6721,2.6978,2.6857,2.6491,2.6067,2.542,2.5047,2.4594,2.4169,2.387,2.3498,2.3284,2.2989,2.2759,2.2599,2.243
E6192,GX,2/19/2015, A11,Sham,2,9/17/2014,8/18/2014,9/1/2014,9/17/2014,,2,2.904,,,0.22565,0.96855,1.45345,1.85785,2.2003,2.4808,2.69745,2.82905,2.94225,2.9801,3.0591,3.0423,3.0557,2.9889,2.9987,2.9515,2.9557,2.9674,2.92065,2.8821,2.904
E6123,GX,2/12/2015, B11,Sham,0,8/14/2014,8/14/2014,,,,1,0.1811,,,0.0015,0.0239,0.0361,0.04625,0.05835,0.0697,0.08145,0.0921,0.10265,0.1129,0.12235,0.1304,0.1383,0.1455,0.1519,0.15855,0.1638,0.16865,0.1735,0.17735,0.1811
E6123,GX,1/28/2015, A02,Sham,0,8/14/2014,8/14/2014,,,,2,0.843742857,,,0.121985714,0.213857143,0.260828571,0.317685714,0.372228571,0.425342857,0.475371429,0.523685714,0.569828571,0.613171429,0.651228571,0.656314286,0.682057143,0.708742857,0.732771429,0.755885714,0.7789,0.798385714,0.815257143,0.830228571,0.843742857
E6111_E6070_E6019,GX,1/28/2015, C02,Sham,2,7/8/2014,6/14/2014,6/25/2014,7/8/2014,,1,2.928542857,,,0.934685714,1.328157143,1.801228571,2.164585714,2.475028571,2.706242857,2.884471429,3.019685714,3.087328571,3.107271429,3.137928571,3.110514286,3.132957143,3.119742857,3.067271429,3.025285714,3.0196,3.000185714,2.957957143,2.924528571,2.928542857
E6111_E6070_E6019,GX,2/12/2015, A01,Sham,2,7/8/2014,6/14/2014,6/25/2014,7/8/2014,,2,3.1034,,,0.3171,1.0669,1.5223,1.94505,2.29375,2.5698,2.78775,2.9586,3.04375,3.1209,3.17805,3.1913,3.1837,3.1877,3.2273,3.17145,3.181,3.17085,3.1024,3.08865,3.1034
